SGR;signallingState;RD5
time;value;status
2019-07-11 01:29:37.000+0200;15;Rot/Gelb
2019-07-11 01:29:38.000+0200;48;Grün
2019-07-11 01:30:06.000+0200;12;Gelb
2019-07-11 01:30:08.000+0200;3;Rot
2019-07-11 01:30:46.000+0200;15;Rot/Gelb
2019-07-11 01:30:47.000+0200;48;Grün
2019-07-11 01:31:18.000+0200;12;Gelb
2019-07-11 01:31:20.000+0200;3;Rot
2019-07-11 01:31:58.000+0200;15;Rot/Gelb
2019-07-11 01:31:59.000+0200;48;Grün
2019-07-11 01:32:30.000+0200;12;Gelb
2019-07-11 01:32:32.000+0200;3;Rot
2019-07-11 01:33:10.000+0200;15;Rot/Gelb
2019-07-11 01:33:11.000+0200;48;Grün
2019-07-11 01:33:42.000+0200;12;Gelb
2019-07-11 01:33:44.000+0200;3;Rot
2019-07-11 01:34:22.000+0200;15;Rot/Gelb
2019-07-11 01:34:23.000+0200;48;Grün
2019-07-11 01:34:54.000+0200;12;Gelb
2019-07-11 01:34:56.000+0200;3;Rot
2019-07-11 01:35:34.000+0200;15;Rot/Gelb
2019-07-11 01:35:35.000+0200;48;Grün
2019-07-11 01:36:06.000+0200;12;Gelb
2019-07-11 01:36:08.000+0200;3;Rot
2019-07-11 01:36:46.000+0200;15;Rot/Gelb
2019-07-11 01:36:47.000+0200;48;Grün
2019-07-11 01:37:26.000+0200;12;Gelb
2019-07-11 01:37:28.000+0200;3;Rot
2019-07-11 01:38:06.000+0200;15;Rot/Gelb
2019-07-11 01:38:07.000+0200;48;Grün
2019-07-11 01:38:30.000+0200;12;Gelb
2019-07-11 01:38:32.000+0200;3;Rot
2019-07-11 01:39:10.000+0200;15;Rot/Gelb
2019-07-11 01:39:11.000+0200;48;Grün
2019-07-11 01:39:42.000+0200;12;Gelb
2019-07-11 01:39:44.000+0200;3;Rot
2019-07-11 01:40:22.000+0200;15;Rot/Gelb
2019-07-11 01:40:23.000+0200;48;Grün
2019-07-11 01:40:54.000+0200;12;Gelb
2019-07-11 01:40:56.000+0200;3;Rot
2019-07-11 01:41:34.000+0200;15;Rot/Gelb
2019-07-11 01:41:35.000+0200;48;Grün
2019-07-11 01:42:06.000+0200;12;Gelb
2019-07-11 01:42:08.000+0200;3;Rot
2019-07-11 01:42:46.000+0200;15;Rot/Gelb
2019-07-11 01:42:47.000+0200;48;Grün
2019-07-11 01:43:18.000+0200;12;Gelb
2019-07-11 01:43:20.000+0200;3;Rot
2019-07-11 01:43:58.000+0200;15;Rot/Gelb
2019-07-11 01:43:59.000+0200;48;Grün
2019-07-11 01:44:30.000+0200;12;Gelb
2019-07-11 01:44:32.000+0200;3;Rot
2019-07-11 01:45:10.000+0200;15;Rot/Gelb
2019-07-11 01:45:11.000+0200;48;Grün
2019-07-11 01:45:42.000+0200;12;Gelb
2019-07-11 01:45:44.000+0200;3;Rot
2019-07-11 01:46:22.000+0200;15;Rot/Gelb
2019-07-11 01:46:23.000+0200;48;Grün
2019-07-11 01:46:54.000+0200;12;Gelb
2019-07-11 01:46:56.000+0200;3;Rot
2019-07-11 01:47:34.000+0200;15;Rot/Gelb
2019-07-11 01:47:35.000+0200;48;Grün
2019-07-11 01:48:06.000+0200;12;Gelb
2019-07-11 01:48:08.000+0200;3;Rot
2019-07-11 01:48:46.000+0200;15;Rot/Gelb
2019-07-11 01:48:47.000+0200;48;Grün
2019-07-11 01:49:18.000+0200;12;Gelb
2019-07-11 01:49:20.000+0200;3;Rot
2019-07-11 01:49:58.000+0200;15;Rot/Gelb
2019-07-11 01:49:59.000+0200;48;Grün
2019-07-11 01:50:30.000+0200;12;Gelb
2019-07-11 01:50:32.000+0200;3;Rot
2019-07-11 01:51:10.000+0200;15;Rot/Gelb
2019-07-11 01:51:11.000+0200;48;Grün
2019-07-11 01:51:42.000+0200;12;Gelb
2019-07-11 01:51:44.000+0200;3;Rot
2019-07-11 01:52:22.000+0200;15;Rot/Gelb
2019-07-11 01:52:23.000+0200;48;Grün
2019-07-11 01:53:02.000+0200;12;Gelb
2019-07-11 01:53:04.000+0200;3;Rot
2019-07-11 01:53:42.000+0200;15;Rot/Gelb
2019-07-11 01:53:43.000+0200;48;Grün
2019-07-11 01:54:06.000+0200;12;Gelb
2019-07-11 01:54:08.000+0200;3;Rot
2019-07-11 01:54:46.000+0200;15;Rot/Gelb
2019-07-11 01:54:47.000+0200;48;Grün
2019-07-11 01:55:18.000+0200;12;Gelb
2019-07-11 01:55:20.000+0200;3;Rot
2019-07-11 01:55:58.000+0200;15;Rot/Gelb
2019-07-11 01:55:59.000+0200;48;Grün
2019-07-11 01:56:30.000+0200;12;Gelb
2019-07-11 01:56:32.000+0200;3;Rot
2019-07-11 01:57:10.000+0200;15;Rot/Gelb
2019-07-11 01:57:11.000+0200;48;Grün
2019-07-11 01:57:42.000+0200;12;Gelb
2019-07-11 01:57:44.000+0200;3;Rot
2019-07-11 01:58:22.000+0200;15;Rot/Gelb
2019-07-11 01:58:23.000+0200;48;Grün
2019-07-11 01:58:54.000+0200;12;Gelb
2019-07-11 01:58:56.000+0200;3;Rot
2019-07-11 01:59:34.000+0200;15;Rot/Gelb
2019-07-11 01:59:35.000+0200;48;Grün
2019-07-11 02:00:06.000+0200;12;Gelb
2019-07-11 02:00:08.000+0200;3;Rot
2019-07-11 02:00:46.000+0200;15;Rot/Gelb
2019-07-11 02:00:47.000+0200;48;Grün
2019-07-11 02:01:18.000+0200;12;Gelb
2019-07-11 02:01:20.000+0200;3;Rot
2019-07-11 02:01:58.000+0200;15;Rot/Gelb
2019-07-11 02:01:59.000+0200;48;Grün
2019-07-11 02:02:30.000+0200;12;Gelb
2019-07-11 02:02:32.000+0200;3;Rot
2019-07-11 02:03:10.000+0200;15;Rot/Gelb
2019-07-11 02:03:11.000+0200;48;Grün
2019-07-11 02:03:42.000+0200;12;Gelb
2019-07-11 02:03:44.000+0200;3;Rot
2019-07-11 02:04:22.000+0200;15;Rot/Gelb
2019-07-11 02:04:23.000+0200;48;Grün
2019-07-11 02:04:54.000+0200;12;Gelb
2019-07-11 02:04:56.000+0200;3;Rot
2019-07-11 02:05:34.000+0200;15;Rot/Gelb
2019-07-11 02:05:35.000+0200;48;Grün
2019-07-11 02:06:06.000+0200;12;Gelb
2019-07-11 02:06:08.000+0200;3;Rot
2019-07-11 02:06:46.000+0200;15;Rot/Gelb
2019-07-11 02:06:47.000+0200;48;Grün
2019-07-11 02:07:18.000+0200;12;Gelb
2019-07-11 02:07:20.000+0200;3;Rot
2019-07-11 02:07:58.000+0200;15;Rot/Gelb
2019-07-11 02:07:59.000+0200;48;Grün
2019-07-11 02:08:30.000+0200;12;Gelb
2019-07-11 02:08:32.000+0200;3;Rot
2019-07-11 02:09:10.000+0200;15;Rot/Gelb
2019-07-11 02:09:11.000+0200;48;Grün
2019-07-11 02:09:42.000+0200;12;Gelb
2019-07-11 02:09:44.000+0200;3;Rot
2019-07-11 02:10:22.000+0200;15;Rot/Gelb
2019-07-11 02:10:23.000+0200;48;Grün
2019-07-11 02:10:54.000+0200;12;Gelb
2019-07-11 02:10:56.000+0200;3;Rot
2019-07-11 02:11:34.000+0200;15;Rot/Gelb
2019-07-11 02:11:35.000+0200;48;Grün
2019-07-11 02:12:06.000+0200;12;Gelb
2019-07-11 02:12:08.000+0200;3;Rot
2019-07-11 02:12:46.000+0200;15;Rot/Gelb
2019-07-11 02:12:47.000+0200;48;Grün
2019-07-11 02:13:18.000+0200;12;Gelb
2019-07-11 02:13:20.000+0200;3;Rot
2019-07-11 02:13:58.000+0200;15;Rot/Gelb
2019-07-11 02:13:59.000+0200;48;Grün
2019-07-11 02:14:30.000+0200;12;Gelb
2019-07-11 02:14:32.000+0200;3;Rot
2019-07-11 02:15:10.000+0200;15;Rot/Gelb
2019-07-11 02:15:11.000+0200;48;Grün
2019-07-11 02:15:42.000+0200;12;Gelb
2019-07-11 02:15:44.000+0200;3;Rot
2019-07-11 02:16:22.000+0200;15;Rot/Gelb
2019-07-11 02:16:23.000+0200;48;Grün
2019-07-11 02:16:54.000+0200;12;Gelb
2019-07-11 02:16:56.000+0200;3;Rot
2019-07-11 02:17:34.000+0200;15;Rot/Gelb
2019-07-11 02:17:35.000+0200;48;Grün
2019-07-11 02:18:06.000+0200;12;Gelb
2019-07-11 02:18:08.000+0200;3;Rot
2019-07-11 02:18:46.000+0200;15;Rot/Gelb
2019-07-11 02:18:47.000+0200;48;Grün
2019-07-11 02:19:18.000+0200;12;Gelb
2019-07-11 02:19:20.000+0200;3;Rot
2019-07-11 02:19:58.000+0200;15;Rot/Gelb
2019-07-11 02:19:59.000+0200;48;Grün
2019-07-11 02:20:30.000+0200;12;Gelb
2019-07-11 02:20:32.000+0200;3;Rot
2019-07-11 02:21:10.000+0200;15;Rot/Gelb
2019-07-11 02:21:11.000+0200;48;Grün
2019-07-11 02:21:42.000+0200;12;Gelb
2019-07-11 02:21:44.000+0200;3;Rot
2019-07-11 02:22:22.000+0200;15;Rot/Gelb
2019-07-11 02:22:23.000+0200;48;Grün
2019-07-11 02:22:54.000+0200;12;Gelb
2019-07-11 02:22:56.000+0200;3;Rot
2019-07-11 02:23:34.000+0200;15;Rot/Gelb
2019-07-11 02:23:35.000+0200;48;Grün
2019-07-11 02:24:06.000+0200;12;Gelb
2019-07-11 02:24:08.000+0200;3;Rot
2019-07-11 02:24:46.000+0200;15;Rot/Gelb
2019-07-11 02:24:47.000+0200;48;Grün
2019-07-11 02:25:18.000+0200;12;Gelb
2019-07-11 02:25:20.000+0200;3;Rot
2019-07-11 02:25:58.000+0200;15;Rot/Gelb
2019-07-11 02:25:59.000+0200;48;Grün
2019-07-11 02:26:30.000+0200;12;Gelb
2019-07-11 02:26:32.000+0200;3;Rot
2019-07-11 02:27:10.000+0200;15;Rot/Gelb
2019-07-11 02:27:11.000+0200;48;Grün
2019-07-11 02:27:42.000+0200;12;Gelb
2019-07-11 02:27:44.000+0200;3;Rot
2019-07-11 02:28:22.000+0200;15;Rot/Gelb
2019-07-11 02:28:23.000+0200;48;Grün
2019-07-11 02:28:54.000+0200;12;Gelb
2019-07-11 02:28:56.000+0200;3;Rot
2019-07-11 02:29:34.000+0200;15;Rot/Gelb
2019-07-11 02:29:35.000+0200;48;Grün
2019-07-11 02:30:06.000+0200;12;Gelb
2019-07-11 02:30:08.000+0200;3;Rot
2019-07-11 02:30:46.000+0200;15;Rot/Gelb
2019-07-11 02:30:47.000+0200;48;Grün
2019-07-11 02:31:18.000+0200;12;Gelb
2019-07-11 02:31:20.000+0200;3;Rot
2019-07-11 02:31:58.000+0200;15;Rot/Gelb
2019-07-11 02:31:59.000+0200;48;Grün
2019-07-11 02:32:30.000+0200;12;Gelb
2019-07-11 02:32:32.000+0200;3;Rot
2019-07-11 02:33:10.000+0200;15;Rot/Gelb
2019-07-11 02:33:11.000+0200;48;Grün
2019-07-11 02:33:42.000+0200;12;Gelb
2019-07-11 02:33:44.000+0200;3;Rot
2019-07-11 02:34:22.000+0200;15;Rot/Gelb
2019-07-11 02:34:23.000+0200;48;Grün
2019-07-11 02:34:54.000+0200;12;Gelb
2019-07-11 02:34:56.000+0200;3;Rot
2019-07-11 02:35:34.000+0200;15;Rot/Gelb
2019-07-11 02:35:35.000+0200;48;Grün
2019-07-11 02:36:06.000+0200;12;Gelb
2019-07-11 02:36:08.000+0200;3;Rot
2019-07-11 02:36:46.000+0200;15;Rot/Gelb
2019-07-11 02:36:47.000+0200;48;Grün
2019-07-11 02:37:18.000+0200;12;Gelb
2019-07-11 02:37:20.000+0200;3;Rot
2019-07-11 02:37:58.000+0200;15;Rot/Gelb
2019-07-11 02:37:59.000+0200;48;Grün
2019-07-11 02:38:30.000+0200;12;Gelb
2019-07-11 02:38:32.000+0200;3;Rot
2019-07-11 02:39:10.000+0200;15;Rot/Gelb
2019-07-11 02:39:11.000+0200;48;Grün
2019-07-11 02:39:42.000+0200;12;Gelb
2019-07-11 02:39:44.000+0200;3;Rot
2019-07-11 02:40:22.000+0200;15;Rot/Gelb
2019-07-11 02:40:23.000+0200;48;Grün
2019-07-11 02:40:54.000+0200;12;Gelb
2019-07-11 02:40:56.000+0200;3;Rot
